S.no,State,Year,Quarter,Registered_Users,AppOpenings
1,andaman-&-nicobar-islands,2018,1,6740,0
2,andaman-&-nicobar-islands,2018,2,9405,0
3,andaman-&-nicobar-islands,2018,3,12149,0
4,andaman-&-nicobar-islands,2018,4,15222,0
5,andaman-&-nicobar-islands,2019,1,18596,0
6,andaman-&-nicobar-islands,2019,2,21731,52640
7,andaman-&-nicobar-islands,2019,3,23931,171107
8,andaman-&-nicobar-islands,2019,4,25960,177012
9,andaman-&-nicobar-islands,2020,1,28368,193586
10,andaman-&-nicobar-islands,2020,2,32710,305072
11,andaman-&-nicobar-islands,2020,3,41335,515565
12,andaman-&-nicobar-islands,2020,4,52396,887208
13,andaman-&-nicobar-islands,2021,1,57758,1004336
14,andaman-&-nicobar-islands,2021,2,62095,2248223
15,andaman-&-nicobar-islands,2021,3,66982,3121625
16,andaman-&-nicobar-islands,2021,4,71780,2112910
17,andaman-&-nicobar-islands,2022,1,76288,3847407
18,andaman-&-nicobar-islands,2022,2,80530,5180013
19,andaman-&-nicobar-islands,2022,3,84642,6068354
20,andaman-&-nicobar-islands,2022,4,88442,4354093
21,andhra-pradesh,2018,1,3336450,0
22,andhra-pradesh,2018,2,4402540,0
23,andhra-pradesh,2018,3,5427617,0
24,andhra-pradesh,2018,4,6857409,0
25,andhra-pradesh,2019,1,8283019,0
26,andhra-pradesh,2019,2,9389003,81375251
27,andhra-pradesh,2019,3,10458693,310953542
28,andhra-pradesh,2019,4,11757883,411201518
29,andhra-pradesh,2020,1,13022060,486513773
30,andhra-pradesh,2020,2,14319675,494341698
31,andhra-pradesh,2020,3,15692405,696300382
32,andhra-pradesh,2020,4,17076565,869078538
33,andhra-pradesh,2021,1,18363733,957709447
34,andhra-pradesh,2021,2,19620905,1044705436
35,andhra-pradesh,2021,3,21059898,1258536879
36,andhra-pradesh,2021,4,22489029,1447717601
37,andhra-pradesh,2022,1,23857951,1254785973
38,andhra-pradesh,2022,2,25157264,1378736856
39,andhra-pradesh,2022,3,26496330,1357005703
40,andhra-pradesh,2022,4,27778016,1673374802
41,arunachal-pradesh,2018,1,21495,0
42,arunachal-pradesh,2018,2,32883,0
43,arunachal-pradesh,2018,3,45922,0
44,arunachal-pradesh,2018,4,61852,0
45,arunachal-pradesh,2019,1,76957,0
46,arunachal-pradesh,2019,2,95885,502873
47,arunachal-pradesh,2019,3,112149,1811700
48,arunachal-pradesh,2019,4,129321,2140340
49,arunachal-pradesh,2020,1,149066,2598321
50,arunachal-pradesh,2020,2,177534,3387006
51,arunachal-pradesh,2020,3,206046,4003421
52,arunachal-pradesh,2020,4,231292,4472667
53,arunachal-pradesh,2021,1,251240,4796708
54,arunachal-pradesh,2021,2,270572,13025849
55,arunachal-pradesh,2021,3,293073,17209654
56,arunachal-pradesh,2021,4,314944,11230295
57,arunachal-pradesh,2022,1,335339,41418559
58,arunachal-pradesh,2022,2,354528,49889518
59,arunachal-pradesh,2022,3,373372,59722628
60,arunachal-pradesh,2022,4,390307,21775038
61,assam,2018,1,385237,0
62,assam,2018,2,571046,0
63,assam,2018,3,784802,0
64,assam,2018,4,1039221,0
65,assam,2019,1,1259085,0
